Order Date,Year,Month,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Profit Margin,Customer Name,Segment
2016-12-08,2016,12,Central,Technology,Phones,GE 30524EE4,1097.544,7,0.2,123.4737,0.11249999999999999,Gene Hale,Corporate
2016-12-08,2016,12,Central,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963,-0.775,Gene Hale,Corporate
2015-12-27,2015,12,Central,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415,0.3125,Steve Nguyen,Home Office
2015-12-27,2015,12,Central,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764,-0.08823529411764706,Steve Nguyen,Home Office
2015-12-27,2015,12,Central,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147,-0.07142857142857144,Steve Nguyen,Home Office
2015-12-27,2015,12,Central,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564,0.1125,Steve Nguyen,Home Office
2017-09-10,2017,9,Central,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564,0.11249999999999999,Linda Cazamias,Corporate
2016-07-17,2016,7,West,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0.0,3.894,0.05,Ruben Ausman,Corporate
2017-09-19,2017,9,South,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616,0.1,Erin Smith,Corporate
2016-03-11,2016,3,Central,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0.0,19.7714,0.43000000000000005,Odella Nelson,Corporate
2016-03-11,2016,3,Central,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0.0,8.2062,0.47000000000000003,Odella Nelson,Corporate
2014-10-20,2014,10,Central,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0.0,8.4784,0.04,Patrick O'Donnell,Consumer
2016-06-20,2016,6,East,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0,3,0.0,4.95,0.11,Lena Hernandez,Consumer
2016-06-20,2016,6,East,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0.0,6.104,0.27999999999999997,Lena Hernandez,Consumer
2015-04-18,2015,4,Central,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0.0,17.9634,0.47000000000000003,Darren Powers,Consumer
2015-04-18,2015,4,Central,Office Supplies,Labels,Avery 485,75.18,6,0.0,35.3346,0.47,Darren Powers,Consumer
2015-04-18,2015,4,Central,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0.0,2.9568,0.48,Darren Powers,Consumer
2015-04-18,2015,4,Central,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0.0,17.0981,0.19,Darren Powers,Consumer
2016-12-11,2016,12,East,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0.0,6.2566,0.41,Janet Molinari,Corporate
2016-12-11,2016,12,East,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0.0,298.6855,0.29,Janet Molinari,Corporate
2016-06-17,2016,6,East,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0.0,52.14,0.25,Ted Butterfield,Consumer
2016-06-17,2016,6,East,Office Supplies,Paper,Xerox 232,32.4,5,0.0,15.552,0.48,Ted Butterfield,Consumer
2016-06-17,2016,6,East,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098,0.02222222222222222,Ted Butterfield,Consumer
2016-06-17,2016,6,East,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0.0,6.9888,0.48,Ted Butterfield,Consumer
2016-06-17,2016,6,East,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.0,2,0.0,3.3,0.11,Ted Butterfield,Consumer
2016-06-17,2016,6,East,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,16.362,0.33749999999999997,Ted Butterfield,Consumer
2016-06-17,2016,6,East,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0.0,0.84,0.5,Ted Butterfield,Consumer
2015-11-24,2015,11,West,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0.0,6.1512,0.44,Kunst Miller,Consumer
2015-11-24,2015,11,West,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612,0.3625,Kunst Miller,Consumer
2015-11-24,2015,11,West,Office Supplies,Paper,Xerox 1943,146.73,3,0.0,68.9631,0.47000000000000003,Kunst Miller,Consumer
2015-11-24,2015,11,West,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0.0,22.3328,0.27999999999999997,Kunst Miller,Consumer
2015-04-30,2015,4,Central,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225,-0.07142857142857142,Paul Stevenson,Home Office
2014-12-05,2014,12,West,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024,0.10000000000000002,Brendan Sweed,Corporate
2014-12-05,2014,12,West,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988,0.375,Brendan Sweed,Corporate
2016-06-04,2016,6,South,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0.0,35.6636,0.4700000000000001,Karen Daniels,Consumer
2016-09-18,2016,9,East,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731,0.37500000000000006,Henry MacAllister,Consumer
2017-09-14,2017,9,Central,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0.0,8.763,0.45999999999999996,Tracy Blumstein,Consumer
2015-04-26,2015,4,South,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,8,0.2,-114.3912,-0.13749999999999998,Joel Eaton,Consumer
2015-04-26,2015,4,South,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.213,0.0125,Joel Eaton,Consumer
2015-04-26,2015,4,South,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,1,0.2,-18.196,-0.25,Joel Eaton,Consumer
2017-12-09,2017,12,Central,Office Supplies,Binders,Economy Binders,1.248,3,0.8,-1.9344,-1.5499999999999998,Ken Brennan,Corporate
2017-12-09,2017,12,Central,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,-5.8248,-0.6,Ken Brennan,Corporate
2017-12-09,2017,12,Central,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.724,0.10000000000000002,Ken Brennan,Corporate
2014-11-26,2014,11,Central,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475,-0.75,Joel Eaton,Consumer
2016-06-12,2016,6,South,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0.0,56.2032,0.27,Stewart Carmichael,Corporate
2016-06-12,2016,6,South,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,0.0,8.0352,0.48000000000000004,Stewart Carmichael,Corporate
2014-10-12,2014,10,West,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0.0,4.172,0.27999999999999997,Duane Noonan,Consumer
2014-10-12,2014,10,West,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0.0,6.2031,0.29,Duane Noonan,Consumer
2015-09-03,2015,9,South,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2,62.8075,0.3125,Julie Creighton,Corporate
2017-11-13,2017,11,Central,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549,-0.2125,Christopher Schild,Home Office
2017-05-28,2017,5,South,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0.0,33.2156,0.11000000000000001,Patrick O'Donnell,Consumer
2017-10-26,2017,10,Central,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0.0,6.7966,0.34,Paul Gonzalez,Consumer
2017-10-26,2017,10,Central,Office Supplies,Labels,Avery 511,6.16,2,0.0,2.9568,0.48,Paul Gonzalez,Consumer
2016-04-05,2016,4,Central,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7,0.2,13.8572,0.08750000000000001,Gary Mitchum,Home Office
2016-09-17,2016,9,West,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,0.0,6.633,0.32999999999999996,Jim Sink,Corporate
2016-09-17,2016,9,West,Technology,Phones,Panasonic Kx-TS550,73.584,2,0.2,8.2782,0.11249999999999999,Jim Sink,Corporate
2016-09-17,2016,9,West,Office Supplies,Paper,Xerox 1995,6.48,1,0.0,3.1104,0.4799999999999999,Jim Sink,Corporate
2015-01-31,2015,1,Central,Office Supplies,Paper,Xerox 1999,12.96,2,0.0,6.2208,0.4799999999999999,Karl Braun,Consumer
2015-01-31,2015,1,Central,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0.0,16.5354,0.30999999999999994,Karl Braun,Consumer
2015-01-31,2015,1,Central,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2,0.0,16.1504,0.49000000000000005,Karl Braun,Consumer
2017-11-06,2017,11,West,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,0.7,-3.788,-0.6666666666666666,Roger Barcio,Home Office
2017-11-09,2017,11,East,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0.0,40.5426,0.42,Parhena Norris,Home Office
2017-06-17,2017,6,West,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3,0.2,17.9592,0.35,Katherine Ducich,Consumer
2016-09-06,2016,9,Central,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0.0,22.5852,0.29000000000000004,Elpida Rittenbach,Corporate
2016-08-29,2016,8,Central,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,7,0.2,22.6184,0.35000000000000003,Rick Bensley,Home Office
2016-08-29,2016,8,Central,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3,0.2,-10.7973,-0.1125,Rick Bensley,Home Office
2016-08-29,2016,8,Central,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,3,0.8,-3.0396,-1.7,Rick Bensley,Home Office
2016-12-01,2016,12,Central,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4,0.0,11.7208,0.49,Gary Zandusky,Consumer
2015-11-13,2015,11,West,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,6,0.2,-26.8758,-0.11250000000000002,Lena Cacioppo,Consumer
2015-11-13,2015,11,West,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,0.2,-3.8385,-0.0375,Lena Cacioppo,Consumer
2015-11-13,2015,11,West,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,3,0.7,-25.8174,-0.7000000000000001,Lena Cacioppo,Consumer
2017-11-23,2017,11,South,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,8,0.2,17.6016,0.23750000000000004,Janet Martin,Consumer
2017-11-23,2017,11,South,Technology,Phones,Speck Products Candyshell Flip Case,27.992,1,0.2,2.0994,0.075,Janet Martin,Consumer
2017-11-23,2017,11,South,Office Supplies,Art,Newell Chalk Holder,3.304,1,0.2,1.0738,0.32500000000000007,Janet Martin,Consumer
2015-10-15,2015,10,Central,Technology,Accessories,Logitech Gaming G510s - Keyboard,339.96,5,0.2,67.992,0.20000000000000004,Pete Armstrong,Home Office
2017-12-25,2017,12,East,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96,2,0.0,10.9096,0.25999999999999995,Cynthia Voltz,Corporate
2016-11-03,2016,11,Central,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2,0.0,22.788,0.30000000000000004,Clay Ludtke,Consumer
2016-11-03,2016,11,Central,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",27.24,6,0.0,13.3476,0.49000000000000005,Clay Ludtke,Consumer
2014-08-25,2014,8,East,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096,14,0.2,14.5348,0.36250000000000004,Ryan Crowe,Consumer
2014-08-25,2014,8,East,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72,2,0.2,1.652,0.35,Ryan Crowe,Consumer
2014-08-25,2014,8,East,Office Supplies,Paper,Xerox 1921,23.976,3,0.2,7.4925,0.3125,Ryan Crowe,Consumer
2014-08-25,2014,8,East,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464,6,0.2,44.0316,0.33749999999999997,Ryan Crowe,Consumer
2015-03-02,2015,3,West,Furniture,Tables,Hon Racetrack Conference Tables,787.53,3,0.0,165.3813,0.21000000000000002,Dave Kipp,Consumer
2015-04-05,2015,4,South,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,157.794,1,0.7,-115.7156,-0.7333333333333333,Greg Guthrie,Corporate
2016-06-12,2016,6,East,Furniture,Furnishings,Artistic Insta-Plaque,47.04,3,0.0,18.3456,0.39,Steven Cartwright,Consumer
2016-06-12,2016,6,East,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,30.84,4,0.0,13.878,0.45,Steven Cartwright,Consumer
2016-06-12,2016,6,East,Office Supplies,Storage,"Companion Letter/Legal File, Black",226.56,6,0.0,63.4368,0.27999999999999997,Steven Cartwright,Consumer
2016-06-12,2016,6,East,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,115.02,9,0.0,51.759,0.45,Steven Cartwright,Consumer
2016-06-12,2016,6,East,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04,7,0.0,19.7316,0.29,Steven Cartwright,Consumer
2014-12-26,2014,12,Central,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,600.558,3,0.3,-8.5794,-0.014285714285714285,Alan Dominguez,Home Office
2014-09-20,2014,9,Central,Furniture,Tables,Bevis 44 x 96 Conference Tables,617.7,6,0.5,-407.682,-0.66,Philip Fox,Consumer
2017-11-05,2017,11,West,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2.388,2,0.7,-1.8308,-0.7666666666666667,Troy Staebel,Consumer
2017-11-05,2017,11,West,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",243.992,7,0.2,30.499,0.125,Troy Staebel,Consumer
2016-11-06,2016,11,West,Furniture,Chairs,"Global Task Chair, Black",81.424,2,0.2,-9.1602,-0.11249999999999999,Lindsay Shagiari,Home Office
2016-11-06,2016,11,West,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,3,0.0,26.2416,0.10999999999999999,Lindsay Shagiari,Home Office
2017-02-02,2017,2,East,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97,5,0.4,-11.994,-0.2,Dorothy Wardle,Corporate
2017-02-02,2017,2,East,Office Supplies,Paper,Xerox 1916,78.304,2,0.2,29.364,0.375,Dorothy Wardle,Corporate
2017-02-02,2017,2,East,Office Supplies,Fasteners,Staples,21.456,9,0.2,6.9732,0.325,Dorothy Wardle,Corporate
2016-10-13,2016,10,West,Office Supplies,Paper,Xerox 195,20.04,3,0.0,9.6192,0.48,Lena Creighton,Consumer
2016-10-13,2016,10,West,Office Supplies,Paper,Xerox 1880,35.44,1,0.0,16.6568,0.47000000000000003,Lena Creighton,Consumer
2016-10-13,2016,10,West,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",11.52,4,0.0,3.456,0.3,Lena Creighton,Consumer
2016-10-13,2016,10,West,Office Supplies,Fasteners,Ideal Clamps,4.02,2,0.0,1.9698,0.49000000000000005,Lena Creighton,Consumer
2016-10-13,2016,10,West,Office Supplies,Binders,GBC Wire Binding Strips,76.176,3,0.2,26.6616,0.35,Lena Creighton,Consumer
2016-10-13,2016,10,West,Office Supplies,Supplies,Fiskars Softgrip Scissors,65.88,6,0.0,18.4464,0.28,Lena Creighton,Consumer
2016-10-13,2016,10,West,Furniture,Furnishings,Longer-Life Soft White Bulbs,43.12,14,0.0,20.6976,0.48000000000000004,Lena Creighton,Consumer
2016-09-05,2016,9,East,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.8,2,0.2,10.35,0.125,Jonathan Doherty,Corporate
2017-09-18,2017,9,West,Office Supplies,Art,Newell 343,8.82,3,0.0,2.3814,0.27,Sally Hughsby,Corporate
2017-09-18,2017,9,West,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,10.86,3,0.0,5.1042,0.47,Sally Hughsby,Corporate
2017-09-18,2017,9,West,Office Supplies,Paper,Xerox 1911,143.7,3,0.0,68.976,0.48000000000000004,Sally Hughsby,Corporate
2017-12-22,2017,12,Central,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,839.43,3,0.0,218.2518,0.26,Sandra Glassco,Consumer
2015-09-07,2015,9,West,Office Supplies,Storage,Safco Industrial Wire Shelving,671.93,7,0.0,20.1579,0.030000000000000006,Helen Andreada,Consumer
2014-10-22,2014,10,East,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",93.888,4,0.2,12.9096,0.13749999999999998,Maureen Gastineau,Home Office
2016-12-05,2016,12,Central,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,384.45,11,0.0,103.8015,0.27,Justin Ellison,Corporate
2016-12-05,2016,12,Central,Technology,Phones,Anker Astro 15000mAh USB Portable Charger,149.97,3,0.0,5.9988,0.04,Justin Ellison,Corporate
2016-12-05,2016,12,Central,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84,8,0.0,585.552,0.30000000000000004,Justin Ellison,Corporate
2016-12-05,2016,12,Central,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,171.55,5,0.0,80.6285,0.47,Justin Ellison,Corporate
2016-03-13,2016,3,West,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92,5,0.2,17.766,0.1125,Tamara Willingham,Home Office
2016-03-13,2016,3,West,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,203.184,2,0.2,15.2388,0.075,Tamara Willingham,Home Office
2015-05-31,2015,5,West,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,58.38,7,0.0,26.271,0.45,Stephanie Phelps,Corporate
2015-05-31,2015,5,West,Office Supplies,Paper,Xerox 1883,105.52,4,0.0,48.5392,0.46,Stephanie Phelps,Corporate
2015-05-31,2015,5,West,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",80.88,6,0.0,21.0288,0.26,Stephanie Phelps,Corporate
2015-05-28,2015,5,West,Office Supplies,Art,Newell 311,6.63,3,0.0,1.7901,0.27,Neil Knudson,Home Office
2014-03-01,2014,3,West,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,457.568,2,0.2,51.4764,0.1125,Dave Brooks,Consumer
2016-11-20,2016,11,Central,Office Supplies,Labels,Avery 519,14.62,2,0.0,6.8714,0.47000000000000003,Nora Paige,Consumer
2016-11-20,2016,11,Central,Technology,Phones,Avaya 5420 Digital phone,944.93,7,0.0,236.2325,0.25,Nora Paige,Consumer
2016-05-11,2016,5,West,Office Supplies,Paper,Xerox 1920,5.98,1,0.0,2.691,0.44999999999999996,Ted Trevino,Consumer
2015-12-28,2015,12,East,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad,54.384,2,0.2,1.3596,0.024999999999999998,Eric Murdock,Consumer
2016-11-16,2016,11,West,Office Supplies,Envelopes,Staple envelope,28.4,5,0.0,13.348,0.47000000000000003,Ruben Dartt,Consumer
2016-11-07,2016,11,West,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,27.68,2,0.2,9.688,0.35000000000000003,Max Jones,Consumer
2014-09-08,2014,9,Central,Office Supplies,Art,BIC Brite Liner Highlighters,9.936,3,0.2,2.7324,0.275,Becky Martin,Consumer
2014-09-08,2014,9,Central,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,8159.952,8,0.4,-1359.992,-0.16666666666666666,Becky Martin,Consumer
2014-09-08,2014,9,Central,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,275.928,3,0.2,-58.6347,-0.21250000000000002,Becky Martin,Consumer
2014-09-08,2014,9,Central,Furniture,Chairs,SAFCO Arco Folding Chair,1740.06,9,0.3,-24.858,-0.014285714285714287,Becky Martin,Consumer
2014-09-08,2014,9,Central,Office Supplies,Art,Sanford Liquid Accent Highlighters,32.064,6,0.2,6.8136,0.2125,Becky Martin,Consumer
